**** BEGIN LOGGING AT Thu May 26 20:35:57 2011

May 26 20:35:57 *	Now talking on ##monitoringsucks
May 26 22:33:22 <lusis>	ickymettle, I think the prevaling thought is configuration would be driven outside
May 26 22:33:23 <whack>	or anything without a web-ui-only configuration
May 26 22:33:37 <whack>	ickymettle: yeah
May 26 22:33:45 <whack>	on the scale of things, configuring nagios is easy
May 26 22:33:45 <lusis>	ickymettle, just an assumption that any "new" tool would have "an api"
May 26 22:33:48 <kallistec>	ickymettle: eh, sorta, there's a whole lot of nagios worldview you need to buy into to get it
May 26 22:33:51 <whack>	lusis: yeah you can still do that by generating a config file.
May 26 22:33:51 <ickymettle>	lusis: in my previous gig I had puppet automatically configuring services in nagios when they are deployed
May 26 22:33:54 <kallistec>	and then it's super easy
May 26 22:33:56 <whack>	kallistec: yes
May 26 22:34:00 <lusis>	ickymettle, same here
May 26 22:34:02 <jdixon>	wouldn't it be cool to have something like Sass for nagios?
May 26 22:34:05 <whack>	I don't like the worldview of nagios, but otherwise it's easy
May 26 22:34:06 <ickymettle>	so deploy ssh on a box it automagically gets a service check added ...
May 26 22:34:12 <whack>	jdixon: you mean sass for monitoring.
May 26 22:34:18 <jdixon>	well, sorta
May 26 22:34:23 <jdixon>	a preprocessor for nagios configs
May 26 22:34:25 <whack>	meh
May 26 22:34:31 <whack>	I haven't hand-written nagios configs, ever.
May 26 22:34:35 <whack>	puppet always generates them for me
May 26 22:34:41 *	jdixon bows before whack 
May 26 22:34:43 <whack>	whether th built-in nagios_* types or with a template
May 26 22:34:47 <jdixon>	s/bows/kneels/
May 26 22:34:52 <whack>	Kneel before Zod.
May 26 22:34:54 <kallistec>	heh
May 26 22:35:07 <whack>	but you know, generating requires coding skills
May 26 22:35:14 <ickymettle>	yeah we've just started getting chef to setup nagios checks for us too now
May 26 22:35:16 <whack>	and I totally don't expect sysadmins to have that everywhere
May 26 22:35:20 <jdixon>	whack: hey, at least I KNOW I'm your bitch. I'm one step ahead of everyone else.
May 26 22:35:22 <whack>	which is why nagios supports those crazy "template" stuffs
May 26 22:35:35 <whack>	which is totally awesome if you can't code but understand nesting things like that
May 26 22:35:47 <ickymettle>	chef + nagios config automation is much cleaner than the puppet mess
May 26 22:35:53 <kallistec>	lol
May 26 22:35:58 <whack>	ickymettle: to each his own ;)
May 26 22:36:01 <lusis>	NO TOOL WARS
May 26 22:36:03 <lusis>	=P
May 26 22:36:11 <ickymettle>	:)
May 26 22:36:16 <lusis>	we all know "         " wins
May 26 22:36:29 <ickymettle>	I hate both of them equally
May 26 22:36:29 <jdixon>	have we covered the major bits?
May 26 22:36:36 <jdixon>	I have some wireframing to do. :-P
May 26 22:36:40 <lusis>	jdixon, I think so. For now I'm going to raw dump the log to a repo
May 26 22:36:45 <jdixon>	yay
May 26 22:36:53 <lusis>	so if anyone has any final words?
May 26 22:36:55 <lusis>	heh
May 26 22:37:03 <whack>	Suck it.
May 26 22:37:05 <jdixon>	was this a bitch session, or do we have a vague goal in mind?
May 26 22:37:15 <whack>	jdixon: you're supposed to ask for the agenda BEFORE the meeting
May 26 22:37:16 <whack>	GOSH
May 26 22:37:20 <jdixon>	orite
May 26 22:37:30 <lusis>	jdixon, I need to hire a few consultants from IBM to answer that
May 26 22:37:32 <kallistec>	jdixon: lol, was pretty helpful to me
May 26 22:37:35 <lusis>	have some meetings
May 26 22:37:38 <jdixon>	;)
May 26 22:37:48 <lusis>	honestly though
May 26 22:37:58 <lusis>	I just wanted a brain dump from everyone who wanted to participate
May 26 22:38:09 <lusis>	for the first run anyway
May 26 22:38:22 <geekle_>	brain dump was a good idea.
May 26 22:38:28 <ickymettle>	yup
May 26 22:38:35 <lusis>	I hate getting caught in semantic confusion
May 26 22:38:37 <ickymettle>	I actually have an idea i'm gonna go and hack on now
May 26 22:38:39 <lusis>	I say monitoring
May 26 22:38:45 <lusis>	you hear "metrics"
May 26 22:38:50 <jdixon>	holy shit that was a lot of dumping
May 26 22:38:51 <lusis>	that kind of bullshit
May 26 22:39:00 <whack>	lusis: also probably worth reviewing "in house" tools?
May 26 22:39:07 <geekle_>	Be back later.
May 26 22:39:08 <lusis>	whack, define in house for me
May 26 22:39:12 <lusis>	heh
May 26 22:39:22 <whack>	lusis: like, look at what everyone else uses internally-built stuff that blogs about
May 26 22:39:28 <lusis>	ahh right
May 26 22:39:37 <jdixon>	ickymettle: I expect you etsy peeps to put all those magic scripts up on github now.
May 26 22:39:48 <jdixon>	the ones you've been holding out on. ;)
May 26 22:39:57 *	jdixon loves starting rumors
May 26 22:39:57 <lusis>	jdixon, +1000
May 26 22:40:11 <lusis>	whack, okay I gotcha
May 26 22:40:28 <lusis>	I've got some stuff in evernote I can try and dump
May 26 22:40:54 <lusis>	not sure the best way for people to add that shit except fork a fucking text file 
May 26 22:40:55 <lusis>	hehe
May 26 22:41:00 <whack>	lusis: mostly because in-house is usally solving "Shit sucks, we'll do it better for our needs"
May 26 22:41:03 <lusis>	need a shared delicious
May 26 22:41:11 <lusis>	or something
May 26 22:41:27 <lusis>	whack, totally
May 26 22:43:35 <lusis>	hrmmm
May 26 22:44:09 <ickymettle>	is a summary of the chat a better starting point? or the raw log
May 26 22:45:11 <lusis>	everyone gimme your github usernames real quick
May 26 22:45:18 <ickymettle>	ickymettle
May 26 22:45:22 <kallistec>	danielsdeleo
May 26 22:45:23 <lusis>	ickymettle, for now I'm going to add just the log dump
May 26 22:45:31 <lusis>	I'll create a markdown as soon as I can
May 26 22:45:33 <ickymettle>	np
May 26 22:45:36 <kallistec>	it's in the damn log already!!
May 26 22:45:42 <ickymettle>	need a collaborative mindmap
May 26 22:45:45 <portertech>	back
May 26 22:45:48 <portertech>	portertech
May 26 22:46:05 <jdixon>	obfuscurity
May 26 22:46:37 <lusis>	anyone else?
May 26 22:47:17 <jdixon>	yer mom
May 26 22:47:27 <lusis>	funny =)
May 26 22:47:38 <lusis>	okay 
May 26 22:47:42 <lusis>	create a new org on github
May 26 22:47:44 <lusis>	everyone is in it
May 26 22:48:06 <jdixon>	yay
May 26 22:48:18 <ickymettle>	cool
May 26 22:49:01 <ickymettle>	add lozzd too
May 26 22:49:01 <lusis>	https://github.com/monitoringsucks
May 26 22:49:07 <lusis>	ickymettle, k
May 26 22:49:14 <ickymettle>	he'll be really keen to comment
May 26 22:49:25 <lusis>	done
May 26 22:49:31 <lusis>	anyone else you guys can think of?
May 26 22:50:18 <lusis>	okay. closing the log. Thank you all seriously
May 26 22:50:22 <lusis>	I know it was rather random
May 26 22:50:34 <ickymettle>	anytime ... this was a great idea
